id,idLegislatura,titulo
55686,57,Frente Parlamentar Mista em Defesa da União Nacional dos Legisladores e Legislativos Estaduais
55656,57,Frente Parlamentar em Defesa da Enfermagem
55652,57,Frente Parlamentar Mista em Defesa das Organizações da Sociedade Civil
55601,57,Frente Parlamentar Mista em Defesa da Propriedade Intelectual e Combate à Pirataria
55576,57,"Frente Parlamentar Mista em Defesa dos Institutos Federais de Educação, Ciência e Tecnologia"
54550,57,Frente Parlamentar Mista Brasil - Portugal
54552,57,Frente Parlamentar Mista em Defesa dos Fretadores - FrenFret
55704,57,Frente Parlamentar Mista de Telecomunicações e Soluções Digitais.
55619,57,"Frente Parlamentar em Defesa do Livro, da Leitura e da Escrita"
55571,57,Frente Parlamentar Mista de Apoio à Emancipação de Distritos no Brasil
55595,57,Frente Parlamentar Mista em Defesa dos Correios
55651,57,Frente Parlamentar ESG na prática do Congresso Nacional (FPESG)
55636,57,Frente Parlamentar Mista para a Defesa e Valorização das Polícias Institucionais
55582,57,Frente Parlamentar Mista em Defesa do Sistema Nacional de Auditoria do SUS
54564,57,Frente Parlamentar pela Defesa e Valorização dos Profissionais de Segurança Pública e da Segurança Privada
55645,57,Frente Parlamentar em Defesa das Trabalhadoras e dos Trabalhadores da Economia Informal
55681,57,Frente Parlamentar em Defesa do Futebol Feminino
55622,57,Frente Parlamentar em Defesa do Benefício de Prestação Continuada (BPC)
55588,57,Frente Parlamentar em Defesa da Soberania Nacional
55695,57,Frente Parlamentar pela Duplicação da BR-290
55671,57,Frente Parlamentar em defesa do Estado Laico e da Liberdade Religiosa
55670,57,Frente Parlamentar Mista pela Democratização do Crédito e Serviços Financeiros
55634,57,Frente Parlamentar em Defesa das Universidades Públicas
55614,57,Frente Parlamentar Mista em Defesa e Apoio aos Despachantes Documentalistas do Brasil
55687,57,Frente Parlamentar Mista pelo Fortalecimento das Entidades Fechadas de Previdência Complementar (EFPC)
55660,57,Frente Parlamentar de Combate à Ludopatia e de Proteção de Crianças e Adolescentes contra os Riscos das Apostas e Jogos de Azar.
55647,57,"Frente Parlamentar Brasil-América Latina, Caribe e África."
55580,57,Frente Parlamentar Mista pelo Combate às Desigualdades
55667,57,Frente Parlamentar de Representação dos Importadores e Comércio Internacional
55605,57,Frente Parlamentar Mista da Energia Limpa
55639,57,Frente Parlamentar em Defesa da Liberdade de Expressão - FPDLE
55589,57,Frente Parlamentar sobre o Limite dos Juros e a Auditoria Integral da Dívida Pública com a Participação Popular
55569,57,Frente Parlamentar da Economia Popular e Solidária
54565,57,Frente Parlamentar do Etanol
55712,57,Frente Parlamentar em Defesa do Mutualismo
55702,57,Frente Parlamentar de Combate à Violência em Ambiente Digital contra Crianças e Adolescentes
55599,57,Frente Parlamentar por Doenças Crônicas de Pele
55583,57,Frente Parlamentar Mista dos Estados da Amazônia Legal
55568,57,Frente Parlamentar Mista da Medicina
55699,57,Frente Parlamentar de Acolhimento e Desenvolvimento Integrado
55710,57,Frente Parlamentar Mista Brasil - Espanha
55697,57,Frente Parlamentar Mista em Defesa dos Vereadores e das Câmaras Municipais
55638,57,Frente Parlamentar Mista da Causa QESA
54486,57,Frente Parlamentar da Mineração e Construção Civil
54566,57,Frente Parlamentar Mista do Desenvolvimento Tecnológico e Cultural do Brasil e Coreia do Sul
54558,57,Frente Parlamentar Mista em Apoio aos Objetivos de Desenvolvimento Sustentável da ONU - ODS
55567,57,Frente Parlamentar Mista da Indústria de Máquinas e Equipamentos - FPMaq
55606,57,Frente Parlamentar em Defesa da Polícia Penal
55641,57,Frente Parlamentar Conservadora em Defesa da Liberdade
55597,57,Frente Parlamentar da Longevidade
55575,57,Frente Parlamentar Mista de Apoio ao Sistema Nacional de Fomento para o Financiamento do Desenvolvimento
55566,57,Frente Parlamentar Mista em Defesa da Polícia Rodoviária Federal
54563,57,"Frente Parlamentar em Apoio ao Petróleo, Gás e Energia - FREPPEGEN"
55618,57,Frente Parlamentar por Melhorias da Rodovia Federal BR-153
55655,57,Frente Parlamentar Brasil - ASEAN
55628,57,Frente Parlamentar em Defesa das Vítimas de Acidentes de Trânsito
55586,57,Frente Parlamentar em Defesa dos Conselheiros Tutelares
54507,57,Frente Parlamentar da Endometriose
54562,57,Frente Parlamentar em Defesa dos Municípios da Amazônia Legal
55669,57,Frente Parlamentar Mista do Jogo Responsável
55650,57,Frente Parlamentar em Defesa das Bacias Hidrográficas Brasileiras
55640,57,Frente Parlamentar Mista do Cooperativismo de Seguros e do Mutualismo de Proteção Patrimonial - FREPAM
55598,57,Frente Parlamentar em prol dos Jogos Eletrônicos e Games
55570,57,Frente Parlamentar do Desporto Escolar
54554,57,Frente Parlamentar Mista da Economia Criativa - FECriativa
55662,57,Frente Parlamentar Mista em Defesa da Pessoa com Epilepsia
